Typical Measured Spectrum of Semrock Di02-R594 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
613.0	0.949
613.2	0.95024
613.4	0.94912
613.6	0.94852
613.8	0.94902
614.0	0.94963
614.2	0.95021
614.4	0.95084
614.6	0.94961
614.8	0.9472
615.0	0.94857
615.2	0.949
615.4	0.94914
615.6	0.9486
615.8	0.94918
616.0	0.94998
616.2	0.95037
616.4	0.94962
616.6	0.948
616.8	0.94629
617.0	0.94606
617.2	0.94565
617.4	0.94491
617.6	0.94215
617.8	0.94138
618.0	0.94195
618.2	0.944
618.4	0.94488
618.6	0.94409
618.8	0.94487
619.0	0.94501
619.2	0.94424
619.4	0.94491
619.6	0.94379
619.8	0.94525
620.0	0.94497
620.2	0.94451
620.4	0.94471
620.6	0.94515
620.8	0.94548
621.0	0.94627
621.2	0.94998
621.4	0.95049
621.6	0.95035
621.8	0.9511
622.0	0.95233
622.2	0.953
622.4	0.95181
622.6	0.95223
622.8	0.95526
623.0	0.95637
623.2	0.95563
623.4	0.95563
623.6	0.95673
623.8	0.95685
624.0	0.95895
624.2	0.95875
624.4	0.95949
624.6	0.95764
624.8	0.96037
625.0	0.96029
625.2	0.96044
625.4	0.95967
625.6	0.96137
625.8	0.96217
626.0	0.96176
626.2	0.96116
626.4	0.96069
626.6	0.96159
626.8	0.96108
627.0	0.9621
627.2	0.96326
