Typical Measured Spectrum of Semrock LD01-640/8 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
480.2	2.2431e-08
480.4	2.4922e-08
480.6	2.7689e-08
480.8	3.0763e-08
481.0	3.4179e-08
481.2	3.7974e-08
481.4	4.219e-08
481.6	4.6875e-08
481.8	5.2079e-08
482.0	5.7862e-08
482.2	5.8851e-08
482.4	5.2571e-08
482.6	4.6961e-08
482.8	4.1949e-08
483.0	3.7473e-08
483.2	3.3474e-08
483.4	2.9902e-08
483.6	2.6711e-08
483.8	2.3861e-08
484.0	2.1314e-08
484.2	1.904e-08
484.4	1.7008e-08
484.6	1.5193e-08
484.8	1.3572e-08
485.0	1.2123e-08
485.2	1.083e-08
485.4	9.6741e-09
485.6	8.6417e-09
485.8	7.7195e-09
486.0	6.8958e-09
486.2	6.4987e-09
486.4	7.256e-09
486.6	8.1017e-09
486.8	9.0458e-09
487.0	1.01e-08
487.2	1.1277e-08
487.4	1.2591e-08
487.6	1.4059e-08
487.8	1.5697e-08
488.0	1.7527e-08
488.2	1.9569e-08
488.4	2.185e-08
488.6	2.4396e-08
488.8	2.7239e-08
489.0	3.0414e-08
489.2	3.3958e-08
489.4	3.7916e-08
489.6	4.2335e-08
489.8	4.7268e-08
490.0	5.2777e-08
490.2	5.7728e-08
490.4	5.1285e-08
490.6	4.556e-08
490.8	4.0475e-08
491.0	3.5958e-08
491.2	3.1944e-08
491.4	2.8379e-08
491.6	2.5211e-08
491.8	2.2397e-08
492.0	1.9897e-08
492.2	1.7677e-08
492.4	1.5704e-08
492.6	1.3951e-08
492.8	1.2394e-08
493.0	1.101e-08
493.2	9.7815e-09
493.4	8.6897e-09
493.6	7.7198e-09
493.8	6.8581e-09
494.0	6.0927e-09
494.2	5.4126e-09
494.4	5.5374e-09
494.6	5.7073e-09
494.8	5.8825e-09
495.0	6.0629e-09
495.2	6.249e-09
495.4	6.4407e-09
495.6	6.6383e-09
495.8	6.842e-09
496.0	7.0519e-09
496.2	7.2683e-09
496.4	7.4913e-09
496.6	7.7212e-09
496.8	7.9581e-09
497.0	8.2023e-09
497.2	8.4539e-09
497.4	8.7133e-09
497.6	8.9807e-09
497.8	9.2562e-09
498.0	9.5403e-09
498.2	9.833e-09
498.4	1.1208e-08
498.6	1.3062e-08
498.8	1.5221e-08
499.0	1.7738e-08
499.2	2.0671e-08
499.4	2.4089e-08
499.6	2.8072e-08
499.8	3.2713e-08
500.0	3.8122e-08
500.2	3.0793e-08
500.4	2.4873e-08
500.6	2.0091e-08
500.8	1.6229e-08
501.0	1.3109e-08
501.2	1.0588e-08
501.4	8.5528e-09
501.6	8.108e-09
501.8	9.0499e-09
502.0	1.0101e-08
502.2	1.1275e-08
502.4	1.2585e-08
502.6	1.4047e-08
502.8	1.5679e-08
503.0	1.75e-08
503.2	1.9533e-08
503.4	2.1803e-08
503.6	2.4336e-08
503.8	2.7163e-08
504.0	3.005e-08
504.2	3.2545e-08
504.4	3.5248e-08
504.6	3.8175e-08
504.8	4.1345e-08
505.0	4.4778e-08
505.2	4.8496e-08
505.4	5.2523e-08
505.6	5.6885e-08
505.8	6.1609e-08
506.0	6.6724e-08
506.2	7.2265e-08
506.4	7.7175e-08
506.6	7.3125e-08
506.8	6.9288e-08
507.0	6.5652e-08
507.2	6.2207e-08
507.4	5.8942e-08
507.6	5.5849e-08
507.8	5.2918e-08
508.0	5.0141e-08
508.2	4.751e-08
508.4	4.5017e-08
508.6	4.2655e-08
508.8	4.0416e-08
509.0	3.0622e-08
509.2	2.2724e-08
509.4	1.6863e-08
509.6	1.2514e-08
509.8	9.2865e-09
510.0	6.8914e-09
510.2	6.556e-09
510.4	6.5391e-09
510.6	6.5222e-09
510.8	6.5053e-09
511.0	6.4885e-09
511.2	6.4718e-09
511.4	6.4551e-09
511.6	6.4384e-09
511.8	6.4218e-09
512.0	6.4052e-09
512.2	6.3887e-09
512.4	6.3722e-09
512.6	6.9947e-09
512.8	8.0845e-09
513.0	9.3441e-09
513.2	1.08e-08
513.4	1.2483e-08
513.6	1.4427e-08
513.8	1.6675e-08
514.0	1.9273e-08
514.2	2.2276e-08
514.4	2.5747e-08
514.6	2.9758e-08
514.8	3.4395e-08
515.0	3.7954e-08
515.2	3.9751e-08
515.4	4.1632e-08
515.6	4.3603e-08
515.8	4.5667e-08
516.0	4.7829e-08
516.2	5.0093e-08
516.4	5.2464e-08
516.6	5.4948e-08
516.8	5.7549e-08
517.0	6.0273e-08
517.2	6.3126e-08
517.4	6.3505e-08
517.6	5.7891e-08
517.8	5.2773e-08
518.0	4.8107e-08
518.2	4.3854e-08
518.4	3.9977e-08
518.6	3.6442e-08
518.8	3.322e-08
519.0	3.0283e-08
519.2	2.7606e-08
519.4	2.5165e-08
519.6	2.294e-08
519.8	2.0912e-08
520.0	1.8987e-08
520.2	1.716e-08
520.4	1.5509e-08
520.6	1.4017e-08
520.8	1.2668e-08
521.0	1.145e-08
521.2	1.0348e-08
521.4	9.3524e-09
521.6	8.4526e-09
521.8	7.6394e-09
522.0	6.9044e-09
522.2	6.2402e-09
522.4	5.6398e-09
522.6	6.0128e-09
522.8	7.0346e-09
523.0	8.2301e-09
523.2	9.6287e-09
523.4	1.1265e-08
523.6	1.3179e-08
523.8	1.5419e-08
524.0	1.8039e-08
524.2	2.1105e-08
524.4	2.4692e-08
524.6	2.8888e-08
524.8	3.3797e-08
525.0	3.6502e-08
